id,session_id,question_id,started_at,submitted_at,selected_option,is_correct,time_taken_sec,attempt_number,created_at
278,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,10,2026-01-06 14:25:12.635864,2026-01-06 14:25:43.188516,A,false,30,14,2026-01-06 14:25:12.741057
279,743a309c-43a6-442a-b142-a50d3138e343,43,2026-01-06 14:25:14.853253,2026-01-06 14:25:19.622017,B,true,4,2,2026-01-06 14:25:14.957898
280,743a309c-43a6-442a-b142-a50d3138e343,58,2026-01-06 14:25:21.510264,2026-01-06 14:25:26.171493,C,false,4,3,2026-01-06 14:25:21.61486
281,743a309c-43a6-442a-b142-a50d3138e343,63,2026-01-06 14:25:28.049851,2026-01-06 14:25:31.31507,C,false,3,4,2026-01-06 14:25:28.154504
282,743a309c-43a6-442a-b142-a50d3138e343,46,2026-01-06 14:25:33.190006,,,,,,2026-01-06 14:25:33.2944
283,743a309c-43a6-442a-b142-a50d3138e343,67,2026-01-06 14:25:35.484089,,,,,,2026-01-06 14:25:35.588486
284,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,18,2026-01-06 14:25:44.982326,2026-01-06 14:26:54.164041,A,false,69,15,2026-01-06 14:25:45.086607
285,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,39,2026-01-06 14:26:55.918839,2026-01-06 14:27:40.239735,B,false,44,16,2026-01-06 14:26:56.022402
286,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,48,2026-01-06 14:27:42.019607,2026-01-06 14:28:27.469243,A,true,45,17,2026-01-06 14:27:42.122836
287,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,1,2026-01-06 14:28:29.267212,2026-01-06 14:28:36.859861,B,true,7,18,2026-01-06 14:28:29.36968
288,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,20,2026-01-06 14:28:38.62972,2026-01-06 14:30:01.930862,D,true,83,19,2026-01-06 14:28:38.732478
289,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,57,2026-01-06 14:30:03.689523,2026-01-06 14:30:16.339113,D,false,12,20,2026-01-06 14:30:03.791194
290,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,53,2026-01-06 14:30:18.189623,2026-01-06 14:30:37.583636,B,true,19,21,2026-01-06 14:30:18.291177
291,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,8,2026-01-06 14:30:39.478188,2026-01-06 14:30:43.728578,B,true,4,22,2026-01-06 14:30:39.579507
292,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,59,2026-01-06 14:30:45.548354,2026-01-06 14:31:07.730831,D,false,22,23,2026-01-06 14:30:45.649712
293,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,61,2026-01-06 14:31:09.549776,2026-01-06 14:31:39.714115,B,true,30,24,2026-01-06 14:31:09.651057
294,cd1e5e81-9476-44ce-81bd-412bce5fb5e5,49,2026-01-06 14:31:41.549655,2026-01-06 14:31:56.915015,C,true,15,25,2026-01-06 14:31:41.650778
295,a649e8e5-46b3-41ae-bda0-71e17facec03,68,2026-01-07 11:15:12.680581,2026-01-07 11:15:19.750054,A,false,7,1,2026-01-07 11:15:12.782774
296,a649e8e5-46b3-41ae-bda0-71e17facec03,52,2026-01-07 11:15:21.655845,2026-01-07 11:15:35.906593,B,true,14,2,2026-01-07 11:15:21.75793
297,a649e8e5-46b3-41ae-bda0-71e17facec03,45,2026-01-07 11:15:37.866958,2026-01-07 11:15:53.902867,B,true,16,3,2026-01-07 11:15:37.968965
298,a649e8e5-46b3-41ae-bda0-71e17facec03,20,2026-01-07 11:15:55.859318,2026-01-07 11:16:21.954636,A,false,26,4,2026-01-07 11:15:55.961581
299,a649e8e5-46b3-41ae-bda0-71e17facec03,18,2026-01-07 11:16:24.01685,2026-01-07 11:16:37.737108,B,false,13,5,2026-01-07 11:16:24.118968
300,a649e8e5-46b3-41ae-bda0-71e17facec03,19,2026-01-07 11:16:39.681267,2026-01-07 11:16:46.272485,C,true,6,6,2026-01-07 11:16:39.783351
301,a649e8e5-46b3-41ae-bda0-71e17facec03,42,2026-01-07 11:16:48.211807,2026-01-07 11:16:57.08195,A,false,8,7,2026-01-07 11:16:48.313873
302,a649e8e5-46b3-41ae-bda0-71e17facec03,57,2026-01-07 11:16:59.071106,2026-01-07 11:17:05.698064,D,false,6,8,2026-01-07 11:16:59.173258
303,a649e8e5-46b3-41ae-bda0-71e17facec03,41,2026-01-07 11:17:07.662499,2026-01-07 11:17:13.223397,D,true,5,9,2026-01-07 11:17:07.764613
304,a649e8e5-46b3-41ae-bda0-71e17facec03,39,2026-01-07 11:17:15.300449,2026-01-07 11:17:22.890717,A,false,7,10,2026-01-07 11:17:15.402632
305,a649e8e5-46b3-41ae-bda0-71e17facec03,33,2026-01-07 11:17:24.817854,2026-01-07 11:17:32.462528,B,true,7,11,2026-01-07 11:17:24.919969
306,a649e8e5-46b3-41ae-bda0-71e17facec03,58,2026-01-07 11:17:34.380914,2026-01-07 11:17:40.247373,A,true,5,12,2026-01-07 11:17:34.483365
